"Vb","Ib","Vc"
1.98698698699,1.953e-05,1.43
1.99199199199,2.01e-05,1.43
1.996996997,2.07e-05,1.43
2.002002002,2.15e-05,1.44
2.00700700701,2.22e-05,1.44
2.01201201201,2.28e-05,1.445
2.01701701702,2.34e-05,1.45
2.02202202202,2.41e-05,1.455
2.02702702703,2.47e-05,1.46
2.03203203203,2.53e-05,1.465
2.03703703704,2.6e-05,1.47
2.04204204204,2.66e-05,1.475
2.04704704705,2.73e-05,1.475
2.05205205205,2.79e-05,1.48
2.05705705706,2.85e-05,1.485
2.06206206206,2.91e-05,1.49
2.06706706707,2.97e-05,1.495
2.07207207207,3.04e-05,1.5
2.07707707708,3.1e-05,1.505
2.08208208208,3.16e-05,1.51
2.08708708709,3.22e-05,1.51
2.09209209209,3.28e-05,1.515
2.0970970971,3.35e-05,1.52
2.1021021021,3.41e-05,1.525
2.10710710711,3.47e-05,1.53
2.11211211211,3.53e-05,1.535
2.11711711712,3.6e-05,1.54
2.12212212212,3.66e-05,1.545
2.12712712713,3.72e-05,1.55
2.13213213213,3.78e-05,1.55
2.13713713714,3.85e-05,1.555
2.14214214214,3.91e-05,1.56
2.14714714715,3.97e-05,1.565
2.15215215215,4.03e-05,1.57
2.15715715716,4.1e-05,1.575
2.16216216216,4.16e-05,1.58
2.16716716717,4.22e-05,1.585
2.17217217217,4.28e-05,1.59
2.17717717718,4.35e-05,1.595
2.18218218218,4.41e-05,1.6
2.18718718719,4.48e-05,1.605
2.19219219219,4.54e-05,1.605
2.1971971972,4.61e-05,1.61
2.2022022022,4.67e-05,1.615
2.20720720721,4.73e-05,1.62
2.21221221221,4.8e-05,1.625
2.21721721722,4.86e-05,1.63
2.22222222222,4.93e-05,1.635
2.22722722723,4.99e-05,1.64
2.23223223223,5.05e-05,1.645
2.23723723724,5.12e-05,1.65
2.24224224224,5.18e-05,1.655
2.24724724725,5.25e-05,1.66
2.25225225225,5.31e-05,1.665
2.25725725726,5.37e-05,1.67
2.26226226226,5.44e-05,1.675
2.26726726727,5.5e-05,1.68
2.27227227227,5.57e-05,1.685
2.27727727728,5.63e-05,1.685
2.28228228228,5.7e-05,1.69
2.28728728729,5.76e-05,1.695
2.29229229229,5.83e-05,1.7
2.2972972973,5.89e-05,1.705
2.3023023023,5.95e-05,1.71
2.30730730731,6.02e-05,1.715
2.31231231231,6.08e-05,1.72
2.31731731732,6.14e-05,1.725
2.32232232232,6.21e-05,1.73
